2025-08-12 00:47:57,712 - INFO - 🔍 Scanning directory: C:\Downloads\Project_Alpha\data

2025-08-12 00:47:57,714 - INFO - 📄 Processing file: begin_inventory.csv
2025-08-12 00:47:57,716 - INFO - 📥 Starting ingestion: C:\Downloads\Project_Alpha\data\begin_inventory.csv
2025-08-12 00:48:21,587 - INFO - ✅ Chunk 70 into 'purchases' → Rows: 10000, Mem: 149.79 MB
2025-08-12 00:48:21,717 - INFO - ✅ Chunk 71 into 'purchases' → Rows: 10000, Mem: 150.02 MB
2025-08-12 00:48:21,908 - INFO - ✅ Chunk 72 into 'purchases' → Rows: 10000, Mem: 149.1 MB
2025-08-12 00:48:22,042 - INFO - ✅ Chunk 73 into 'purchases' → Rows: 10000, Mem: 148.15 MB
2025-08-12 00:48:22,176 - INFO - ✅ Chunk 74 into 'purchases' → Rows: 10000, Mem: 149.64 MB
2025-08-12 00:48:22,316 - INFO - ✅ Chunk 75 into 'purchases' → Rows: 10000, Mem: 149.53 MB
2025-08-12 00:48:22,447 - INFO - ✅ Chunk 76 into 'purchases' → Rows: 10000, Mem: 149.46 MB
2025-08-12 00:48:22,581 - INFO - ✅ Chunk 77 into 'purchases' → Rows: 10000, Mem: 150.36 MB
2025-08-12 00:48:22,713 - INFO - ✅ Chunk 78 into 'purchases' → Rows: 10000, Mem: 150.45 MB
2025-08-12 00:48:22,865 - INFO - ✅ Chunk 79 into 'purchases' → Rows: 10000, Mem: 150.51 MB
2025-08-12 00:48:22,997 - INFO - ✅ Chunk 80 into 'purchases' → Rows: 10000, Mem: 150.76 MB
2025-08-12 00:48:23,202 - INFO - ✅ Chunk 81 into 'purchases' → Rows: 10000, Mem: 150.56 MB
2025-08-12 00:48:23,333 - INFO - ✅ Chunk 82 into 'purchases' → Rows: 10000, Mem: 144.88 MB
2025-08-12 00:48:23,469 - INFO - ✅ Chunk 83 into 'purchases' → Rows: 10000, Mem: 145.28 MB
2025-08-12 00:48:23,607 - INFO - ✅ Chunk 84 into 'purchases' → Rows: 10000, Mem: 145.41 MB
2025-08-12 00:48:23,841 - INFO - ✅ Chunk 85 into 'purchases' → Rows: 10000, Mem: 144.96 MB
